model_id,model_name,category,price,successor_model_id,successor_launch_week,successor_available,lifecycle_status,eol_score,recent6_chain_avg_units,planning_inventory_units,clearance_units,markdown_pct,recommended_clearance_price,clearance_value_before,clearance_value_after,markdown_value_impact,transition_action
MD006,Zentro Arc,Entry,13100.0,MD007,52.0,True,WATCH,0.4759090909090909,0.9933333333333333,2,2,0.1,11790.0,26200.0,23580.0,2620.0,Reduce replenishment; monitor predecessor/successor split
MD048,Corvo Peak,Upper-mid,59900.0,,,False,WATCH,0.475,0.2,1,1,0.1,53910.0,59900.0,53910.0,5990.0,Monitor; no immediate markdown
MD023,Kryon Core,Budget,21300.0,MD024,9.0,True,WATCH,0.475,0.04,1,1,0.1,19170.0,21300.0,19170.0,2130.0,Reduce replenishment; monitor predecessor/successor split
MD045,Vantix Air,Upper-mid,52500.0,MD046,17.0,True,WATCH,0.4708333333333333,0.04666666666666667,1,1,0.1,47250.0,52500.0,47250.0,5250.0,Reduce replenishment; monitor predecessor/successor split
MD041,Halex Ray,Upper-mid,69300.0,,,False,ACTIVE,0.4384259259259259,0.11333333333333333,1,0,0.0,69300.0,0.0,0.0,0.0,Continue normal replenishment
MD002,Vantix Halo,Keypad,7900.0,MD003,50.0,True,ACTIVE,0.4104166666666666,0.9866666666666667,2,0,0.0,7900.0,0.0,0.0,0.0,Continue normal replenishment
MD013,Halex Max 3,Entry,14500.0,,,False,ACTIVE,0.4,0.0,0,0,0.0,14500.0,0.0,0.0,0.0,Continue normal replenishment
MD028,Halex Ace 3,Mid-range,36500.0,,,False,ACTIVE,0.4,0.0,0,0,0.0,36500.0,0.0,0.0,0.0,Continue normal replenishment
MD004,Vantix Halo 3,Keypad,8800.0,,,False,ACTIVE,0.4,0.0,0,0,0.0,8800.0,0.0,0.0,0.0,Continue normal replenishment
MD053,Kryon Orbit 3,Premium,82100.0,,,False,ACTIVE,0.4,0.0,0,0,0.0,82100.0,0.0,0.0,0.0,Continue normal replenishment
MD022,Zentro Wave 3,Budget,21400.0,,,False,ACTIVE,0.4,0.0,0,0,0.0,21400.0,0.0,0.0,0.0,Continue normal replenishment
MD036,Corvo Drift 3,Mid-range,36400.0,,,False,ACTIVE,0.4,0.0,0,0,0.0,36400.0,0.0,0.0,0.0,Continue normal replenishment
MD047,Vantix Air 3,Upper-mid,62300.0,,,False,ACTIVE,0.4,0.0,0,0,0.0,62300.0,0.0,0.0,0.0,Continue normal replenishment
MD056,Ferno Halo,Flagship,102800.0,,,False,ACTIVE,0.3958333333333333,0.006666666666666667,1,0,0.0,102800.0,0.0,0.0,0.0,Continue normal replenishment
MD001,Nubira Crest,Keypad,7600.0,,,False,ACTIVE,0.337710970464135,0.31333333333333335,1,0,0.0,7600.0,0.0,0.0,0.0,Continue normal replenishment
MD007,Zentro Arc 2,Entry,14300.0,,,False,ACTIVE,0.3083333333333333,0.14666666666666667,1,0,0.0,14300.0,0.0,0.0,0.0,Continue normal replenishment
MD017,Vantix Flux,Budget,19500.0,,,False,ACTIVE,0.2863636363636363,0.52,2,0,0.0,19500.0,0.0,0.0,0.0,Continue normal replenishment
MD014,Ferno Sol,Budget,20600.0,,,False,ACTIVE,0.2625,0.07333333333333333,1,0,0.0,20600.0,0.0,0.0,0.0,Continue normal replenishment
MD046,Vantix Air 2,Upper-mid,71500.0,MD047,63.0,False,ACTIVE,0.246969696969697,0.38666666666666666,1,0,0.0,71500.0,0.0,0.0,0.0,Continue normal replenishment
MD042,Ferno Zephyr,Upper-mid,48300.0,,,False,ACTIVE,0.2416666666666666,0.013333333333333334,1,0,0.0,48300.0,0.0,0.0,0.0,Continue normal replenishment
MD054,Orbil Zen,Premium,74400.0,,,False,ACTIVE,0.2416666666666666,0.013333333333333334,1,0,0.0,74400.0,0.0,0.0,0.0,Continue normal replenishment
MD060,Corvo Loop,Flagship,105100.0,,,False,ACTIVE,0.2333333333333333,0.02666666666666667,1,0,0.0,105100.0,0.0,0.0,0.0,Continue normal replenishment
MD058,Nubira Pulse 2,Flagship,150000.0,,,False,ACTIVE,0.2125,0.06,1,0,0.0,150000.0,0.0,0.0,0.0,Continue normal replenishment
MD030,Ferno Prime 2,Mid-range,27200.0,,,False,ACTIVE,0.2119266055045872,0.5066666666666667,2,0,0.0,27200.0,0.0,0.0,0.0,Continue normal replenishment
MD027,Halex Ace 2,Mid-range,46300.0,MD028,72.0,False,ACTIVE,0.2065274151436031,1.8,4,0,0.0,46300.0,0.0,0.0,0.0,Continue normal replenishment
MD005,Corvo Pulse,Entry,11600.0,,,False,ACTIVE,0.2041666666666666,0.07333333333333333,1,0,0.0,11600.0,0.0,0.0,0.0,Continue normal replenishment
MD055,Halex Crest,Premium,75000.0,,,False,ACTIVE,0.1947916666666665,0.3333333333333333,1,0,0.0,75000.0,0.0,0.0,0.0,Continue normal replenishment
MD035,Corvo Drift 2,Mid-range,32400.0,MD036,66.0,False,ACTIVE,0.1925,1.16,3,0,0.0,32400.0,0.0,0.0,0.0,Continue normal replenishment
MD019,Corvo Pixel 2,Budget,25600.0,,,False,ACTIVE,0.1805653710247349,1.4,3,0,0.0,25600.0,0.0,0.0,0.0,Continue normal replenishment
MD032,Nubira Spark 2,Mid-range,42200.0,,,False,ACTIVE,0.1741666666666666,0.32666666666666666,1,0,0.0,42200.0,0.0,0.0,0.0,Continue normal replenishment
MD024,Kryon Core 2,Budget,16600.0,,,False,ACTIVE,0.1449339207048458,1.2,3,0,0.0,16600.0,0.0,0.0,0.0,Continue normal replenishment
MD021,Zentro Wave 2,Budget,25200.0,MD022,85.0,False,ACTIVE,0.0683774834437086,3.6333333333333333,8,0,0.0,25200.0,0.0,0.0,0.0,Continue normal replenishment
MD039,Kryon Glide,Upper-mid,51000.0,,,False,ACTIVE,0.0259259259259259,0.6933333333333334,2,0,0.0,51000.0,0.0,0.0,0.0,Continue normal replenishment
MD044,Nubira Edge 2,Upper-mid,66900.0,,,False,ACTIVE,0.0249999999999999,0.36,1,0,0.0,66900.0,0.0,0.0,0.0,Continue normal replenishment
MD003,Vantix Halo 2,Keypad,6300.0,MD004,104.0,False,ACTIVE,0.0,0.5,1,0,0.0,6300.0,0.0,0.0,0.0,Continue normal replenishment
MD010,Orbil Ember 2,Entry,9800.0,,,False,ACTIVE,0.0,6.973333333333334,14,0,0.0,9800.0,0.0,0.0,0.0,Continue normal replenishment
MD012,Halex Max 2,Entry,9100.0,MD013,84.0,False,ACTIVE,0.0,6.66,14,0,0.0,9100.0,0.0,0.0,0.0,Continue normal replenishment
MD016,Nubira Fuse 2,Budget,23300.0,,,False,ACTIVE,0.0,3.78,8,0,0.0,23300.0,0.0,0.0,0.0,Continue normal replenishment
MD038,Zentro Volt 2,Mid-range,39900.0,,,False,ACTIVE,0.0,1.7333333333333334,4,0,0.0,39900.0,0.0,0.0,0.0,Continue normal replenishment
MD052,Kryon Orbit 2,Premium,96000.0,MD053,91.0,False,ACTIVE,0.0,0.66,2,0,0.0,96000.0,0.0,0.0,0.0,Continue normal replenishment
MD050,Zentro Nova 2,Premium,97100.0,,,False,ACTIVE,0.0,0.6466666666666666,2,0,0.0,97100.0,0.0,0.0,0.0,Continue normal replenishment
