model_id,brand,model_name,category,price,launch_week,launch_date,lifecycle_stage,successor_model_id,peak_week_offset,decline_rate
MD050,Zentro,Zentro Nova 2,Premium,97100.0,44,2025-06-30,Growth,,10,0.0665
MD051,Kryon,Kryon Orbit,Premium,82400.0,-10,2024-06-17,Decline,MD052,9,0.0587
MD052,Kryon,Kryon Orbit 2,Premium,96000.0,44,2025-06-30,Growth,MD053,9,0.0627
MD053,Kryon,Kryon Orbit 3,Premium,82100.0,91,2026-05-25,Not Yet Launched,,8,0.0808
MD054,Orbil,Orbil Zen,Premium,74400.0,-10,2024-06-17,Decline,,8,0.0812
MD055,Halex,Halex Crest,Premium,75000.0,6,2024-10-07,Decline,,8,0.0542
MD056,Ferno,Ferno Halo,Flagship,102800.0,-52,2023-08-28,Decline,,8,0.0487
MD057,Nubira,Nubira Pulse,Flagship,119700.0,-4,2024-07-29,Decline,MD058,8,0.0559
MD058,Nubira,Nubira Pulse 2,Flagship,150000.0,51,2025-08-18,Launch,,9,0.0422
MD059,Vantix,Vantix Arc,Flagship,128600.0,-40,2023-11-20,Decline,,8,0.0608
MD060,Corvo,Corvo Loop,Flagship,105100.0,-20,2024-04-08,Decline,,8,0.0817
