model_id,model_name,category,price,launch_week,successor_model_id,successor_launched,recent_6w_avg_units,prior_6w_avg_units,recent_vs_prior_pct,latest_week_units,recent_nonzero_weeks,six_week_slope,eol_score,lifecycle_status,recommended_action
MD014,Ferno Sol,Budget,20600.0,-10,,False,1.8333333333333333,2.0,-8.333333333333337,2.0,4,-0.5999999999999999,0.2625,ACTIVE,Continue normal replenishment
MD046,Vantix Air 2,Upper-mid,71500.0,17,MD047,False,9.666666666666666,14.666666666666666,-34.09090909090909,7.0,6,-2.514285714285711,0.246969696969697,ACTIVE,Continue normal replenishment
MD042,Ferno Zephyr,Upper-mid,48300.0,-40,,False,0.3333333333333333,0.16666666666666666,100.0,1.0,2,0.1142857142857143,0.24166666666666667,ACTIVE,Continue normal replenishment
MD054,Orbil Zen,Premium,74400.0,-10,,False,0.3333333333333333,0.3333333333333333,0.0,0.0,2,-0.17142857142857099,0.24166666666666667,ACTIVE,Continue normal replenishment
MD060,Corvo Loop,Flagship,105100.0,-20,,False,0.6666666666666666,0.5,33.33333333333333,1.0,4,0.11428571428571456,0.23333333333333334,ACTIVE,Continue normal replenishment
MD058,Nubira Pulse 2,Flagship,150000.0,51,,False,1.5,0.0,0.0,7.0,2,1.171428571428567,0.2125,ACTIVE,Continue normal replenishment
MD030,Ferno Prime 2,Mid-range,27200.0,13,,False,12.666666666666666,18.166666666666668,-30.27522935779817,12.0,6,-0.5714285714285684,0.2119266055045872,ACTIVE,Continue normal replenishment
MD027,Halex Ace 2,Mid-range,46300.0,33,MD028,False,45.0,63.833333333333336,-29.503916449086166,37.0,6,-4.742857142857124,0.20652741514360315,ACTIVE,Continue normal replenishment
MD005,Corvo Pulse,Entry,11600.0,-52,,False,1.8333333333333333,1.8333333333333333,0.0,1.0,6,-0.3142857142857141,0.20416666666666666,ACTIVE,Continue normal replenishment
MD055,Halex Crest,Premium,75000.0,6,,False,8.333333333333334,10.666666666666666,-21.87499999999999,7.0,6,-1.1428571428571375,0.19479166666666656,ACTIVE,Continue normal replenishment
MD035,Corvo Drift 2,Mid-range,32400.0,19,MD036,False,29.0,40.0,-27.500000000000004,24.0,6,-2.628571428571418,0.1925,ACTIVE,Continue normal replenishment
MD019,Corvo Pixel 2,Budget,25600.0,14,,False,35.0,47.166666666666664,-25.795053003533564,37.0,6,-1.7142857142857086,0.18056537102473494,ACTIVE,Continue normal replenishment
MD032,Nubira Spark 2,Mid-range,42200.0,-10,,False,8.166666666666666,10.0,-18.333333333333336,11.0,6,1.457142857142853,0.17416666666666666,ACTIVE,Continue normal replenishment
MD024,Kryon Core 2,Budget,16600.0,9,,False,30.0,37.833333333333336,-20.70484581497798,21.0,6,-4.342857142857132,0.14493392070484584,ACTIVE,Continue normal replenishment
MD021,Zentro Wave 2,Budget,25200.0,35,MD022,False,90.83333333333333,100.66666666666667,-9.768211920529811,76.0,6,-5.5714285714285525,0.06837748344370867,ACTIVE,Continue normal replenishment
MD039,Kryon Glide,Upper-mid,51000.0,6,,False,17.333333333333332,18.0,-3.703703703703709,14.0,6,-0.6857142857142766,0.025925925925925963,ACTIVE,Continue normal replenishment
MD044,Nubira Edge 2,Upper-mid,66900.0,49,,False,9.0,0.0,0.0,14.0,4,3.4857142857142756,0.024999999999999994,ACTIVE,Continue normal replenishment
MD003,Vantix Halo 2,Keypad,6300.0,50,MD004,False,12.5,0.0,0.0,36.0,3,7.571428571428539,0.0,ACTIVE,Continue normal replenishment
MD010,Orbil Ember 2,Entry,9800.0,39,,False,174.33333333333334,104.33333333333333,67.09265175718852,161.0,6,-2.3428571428571274,0.0,ACTIVE,Continue normal replenishment
MD012,Halex Max 2,Entry,9100.0,42,MD013,False,166.5,44.666666666666664,272.76119402985074,191.0,6,17.05714285714281,0.0,ACTIVE,Continue normal replenishment
MD016,Nubira Fuse 2,Budget,23300.0,40,,False,94.5,37.166666666666664,154.26008968609867,97.0,6,1.5142857142857071,0.0,ACTIVE,Continue normal replenishment
MD038,Zentro Volt 2,Mid-range,39900.0,44,,False,43.333333333333336,7.666666666666667,465.21739130434787,71.0,6,9.999999999999961,0.0,ACTIVE,Continue normal replenishment
MD052,Kryon Orbit 2,Premium,96000.0,44,MD053,False,16.5,3.3333333333333335,395.0,22.0,6,2.485714285714282,0.0,ACTIVE,Continue normal replenishment
MD050,Zentro Nova 2,Premium,97100.0,44,,False,16.166666666666668,3.0,438.8888888888889,21.0,6,2.7142857142857064,0.0,ACTIVE,Continue normal replenishment
