store_id,store_name,city,tier,location_type,store_segment,total_units_sold,total_sales_value,average_weekly_units,average_weekly_revenue,average_selling_price,keypad_share,entry_share,budget_share,midrange_share,upper_mid_share,premium_share,flagship_share,premium_index,midrange_index,budget_index,top_5_model_share,festive_lift,mean_weekly_units,median_weekly_units,max_weekly_units,std_weekly_units,demand_volatility
ST011,MobiMart Hubli - Town Center,Hubli,Tier 2,Town Center,Value,2573,64099600.0,49.48076923076923,1232684.6153846155,24912.397979012825,0.05985231247570929,0.23280217644772638,0.4076952973183055,0.18305479984453946,0.08783521181500194,0.02137582588418189,0.007384376214535562,0.02876020209871745,0.2708900116595414,0.7003497862417412,0.39253789350952195,3.962179198559207,49.48076923076923,44.0,216,29.19205531500529,0.5899676938905072
ST012,MobiMart Hubli - Highway Store,Hubli,Tier 2,Highway Store,Value,1424,33330900.0,27.384615384615383,640978.8461538461,23406.530898876405,0.06952247191011236,0.3967696629213483,0.26896067415730335,0.16924157303370788,0.06882022471910113,0.019662921348314606,0.007022471910112359,0.026685393258426966,0.238061797752809,0.735252808988764,0.4353932584269663,4.6173044925124795,27.384615384615383,24.0,129,19.06557707652551,0.6962148932439092
ST013,MobiMart Tumkur - Local Market,Tumkur,Tier 3,Local Market,Value,2744,59617700.0,52.76923076923077,1146494.2307692308,21726.567055393585,0.15342565597667637,0.26348396501457727,0.3647959183673469,0.13010204081632654,0.08163265306122448,0.00510204081632653,0.0014577259475218659,0.006559766763848396,0.211734693877551,0.7817055393586005,0.44169096209912534,4.94325621999127,52.76923076923077,43.5,265,39.1756303725027,0.7423953277587976
ST014,MobiMart Tumkur - Town Center,Tumkur,Tier 3,Town Center,Value,2391,52994900.0,45.98076923076923,1019132.6923076923,22164.324550397323,0.17105813467168549,0.24299456294437474,0.3341698034295274,0.14889167712254286,0.0903387703889586,0.010037641154328732,0.002509410288582183,0.012547051442910915,0.23923044751150147,0.7482225010455876,0.39523212045169387,4.387905604719764,45.98076923076923,39.0,209,30.19121439835871,0.6566052483122764
ST015,MobiMart Davangere - Local Market,Davangere,Tier 3,Local Market,Value,2854,59301100.0,54.88461538461539,1140405.7692307692,20778.24106517169,0.09039943938332165,0.28521373510861947,0.44498948843728103,0.12158374211632796,0.0539593552908199,0.002452697967764541,0.001401541695865452,0.0038542396636299927,0.17554309740714785,0.8206026629292221,0.4355290819901892,5.284380305602717,54.88461538461539,46.5,305,44.253571406182715,0.8063019317174145
ST016,MobiMart Davangere - Town Center,Davangere,Tier 3,Town Center,Value,1960,50405000.0,37.69230769230769,969326.9230769231,25716.836734693876,0.10408163265306122,0.2545918367346939,0.38979591836734695,0.10306122448979592,0.0933673469387755,0.04642857142857143,0.008673469387755102,0.05510204081632653,0.19642857142857142,0.7484693877551021,0.3948979591836735,4.733009708737864,37.69230769230769,33.0,189,26.930949075358402,0.7144945673054269
ST017,MobiMart Belagavi - Town Center,Belagavi,Tier 2,Town Center,Value,2771,75195300.0,53.28846153846154,1446063.4615384615,27136.52111151209,0.039335979790689285,0.34247564056297364,0.2998917358354385,0.15337423312883436,0.09707686755683868,0.06171057380007217,0.006134969325153374,0.06784554312522555,0.25045110068567306,0.6817033561891014,0.3987730061349693,4.40365025466893,53.28846153846154,45.5,247,35.30335569144841,0.6624953070932217
ST018,MobiMart Mangaluru - High Street,Mangaluru,Tier 2,High Street,Value,3433,94820100.0,66.01923076923077,1823463.4615384615,27620.18642586659,0.08534809204777163,0.16894844159627148,0.41101077774541217,0.19225167491989514,0.07660937955141275,0.05738421205942325,0.008447422079813574,0.06583163413923682,0.2688610544713079,0.6653073113894552,0.36061753568307603,4.083361572348356,66.01923076923077,62.0,286,38.81554690777424,0.5879430350143491
ST019,MobiMart Mangaluru - Town Center,Mangaluru,Tier 2,Town Center,Balanced,2279,68146400.0,43.82692307692308,1310507.6923076923,29901.88679245283,0.08731899956121106,0.17858709960508995,0.3453268977621764,0.18955682316805617,0.14699429574374726,0.028521281263712155,0.02369460289600702,0.05221588415971917,0.33655111891180345,0.6112329969284774,0.37691970162351907,4.338311019567456,43.82692307692308,39.0,207,29.280737932578123,0.6680993297472849
ST020,MobiMart Shivamogga - Local Market,Shivamogga,Tier 3,Local Market,Value,2080,43647000.0,40.0,839365.3846153846,20984.134615384617,0.07836538461538461,0.2793269230769231,0.5004807692307692,0.07548076923076923,0.04807692307692308,0.013942307692307693,0.004326923076923077,0.01826923076923077,0.12355769230769231,0.8581730769230769,0.5129807692307692,5.005770340450087,40.0,35.5,213,31.10513481347904,0.777628370336976
ST021,MobiMart Ballari - Local Market,Ballari,Tier 3,Local Market,Value,1776,35577700.0,34.15384615384615,684186.5384615385,20032.48873873874,0.1463963963963964,0.2922297297297297,0.3992117117117117,0.09121621621621621,0.06756756756756757,0.0022522522522522522,0.0011261261261261261,0.0033783783783783786,0.15878378378378377,0.8378378378378377,0.393018018018018,5.2246426140231454,34.15384615384615,30.5,201,27.465047031571878,0.8041567824559334
ST022,MobiMart Kalaburagi - Town Center,Kalaburagi,Tier 3,Town Center,Value,3451,60890200.0,66.36538461538461,1170965.3846153845,17644.21906693712,0.31932773109243695,0.29440741813966964,0.2535496957403651,0.07128368588814836,0.05737467400753405,0.003187481889307447,0.0008693132425383947,0.004056795131845842,0.12865835989568242,0.8672848449724717,0.6033033903216459,4.4655054644808745,66.36538461538461,48.0,341,49.96195762430741,0.7528315840231774
ST023,MobiMart Udupi - Local Market,Udupi,Tier 3,Local Market,Value,1673,35714900.0,32.17307692307692,686825.0,21347.818290496114,0.1852958756724447,0.30005977286312013,0.2964734010759115,0.12492528392109982,0.07830245068738792,0.008368200836820083,0.00657501494321578,0.014943215780035863,0.20322773460848775,0.7818290496114764,0.42797369994022716,3.2983761840324766,32.17307692307692,30.5,131,17.64988602290161,0.5485917950931762
ST024,MobiMart Hassan - Local Market,Hassan,Tier 3,Local Market,Value,2998,57453200.0,57.65384615384615,1104869.2307692308,19163.842561707806,0.11541027351567712,0.35023348899266177,0.38492328218812544,0.08905937291527685,0.057371581054036024,0.0023348899266177454,0.00066711140760507,0.0030020013342228155,0.14643095396931288,0.8505670446964643,0.466977985323549,4.789348171701113,57.65384615384615,50.5,293,41.95603890506489,0.7277231564587638
ST025,MobiMart Vijayapura - Town Center,Vijayapura,Tier 3,Town Center,Value,2477,52055500.0,47.63461538461539,1001067.3076923077,21015.542995559143,0.10940654016955995,0.23859507468712152,0.46871215179652803,0.11626968106580542,0.06297941057731127,0.002825999192571659,0.0012111425111021397,0.004037141703673799,0.1792490916431167,0.8167137666532095,0.4497375857892612,3.9639850327408794,47.63461538461539,42.0,225,28.912327817890592,0.6069604547962498
